지역,살인_발생,살인_검거,강도_발생,강도_검거,강간_발생,강간_검거,절도_발생,절도_검거,폭력_발생,폭력_검거
강남,3,3,24,26,339,269,2438,1129,2336,2096
강동,4,5,14,13,160,152,1754,902,2530,2201
강북,7,6,5,4,217,159,1222,672,2778,2482
강서,9,10,10,10,275,239,1952,1070,3204,2768
관악,6,7,12,10,322,264,2103,937,3235,2707
광진,4,4,11,6,279,234,2636,1057,2392,2011
구로,9,9,10,13,273,181,1910,861,3164,2680
금천,6,6,7,7,175,143,1264,654,2193,1946
남대문,1,1,5,4,57,52,946,429,890,832
노원,5,6,6,9,159,142,1857,740,2516,2124
도봉,3,3,5,5,123,121,866,492,1441,1309
동대문,5,5,10,12,190,158,1940,1071,2642,2377
동작,8,6,7,7,325,149,1226,554,1661,1444
마포,4,4,4,7,399,320,2527,940,2939,2500
방배,1,1,4,5,78,51,472,293,500,446
서대문,6,7,5,4,175,147,1503,752,1976,1644
서부,4,4,4,2,54,49,781,389,1128,980
서초,4,4,9,5,350,220,1733,814,1838,1583
성동,4,5,3,5,104,78,1296,896,1619,1408
성북,2,2,3,3,103,75,790,381,1176,1004
송파,9,8,15,12,234,184,2543,1048,3289,2808
수서,2,2,15,16,177,144,1149,789,1666,1431
양천,5,5,7,7,131,108,1719,755,2250,1918
영등포,13,13,19,14,356,225,2341,940,3593,3007
용산,4,4,9,10,251,214,1489,599,2384,2008
은평,2,2,5,5,102,93,885,501,1536,1328
종로,4,0,6,3,137,113,952,389,1291,1135
종암,2,1,5,5,51,42,680,344,932,815
중구,8,7,14,14,164,150,1691,1052,3164,2712
중랑,2,2,3,3,141,96,1204,485,1335,1164
혜화,2,2,6,6,101,64,988,379,972,842
계,148,144,262,252,6002,4636,46857,22314,64570,55710
